main_tag,conf_id,event_name,country,author_id,speaker_name,speaker_occupation,speaker_description,talk_id,url,title,description,film_date,duration,views_count_original,laughter_count,applause_count,language_sp
activism,1570,TED@State Street Boston,United States,2722,Chris Vogtherr,Knee activist,"Self-proclaimed knee activist Chris Vogtherr has begun the new manvolution -- the 'Free the Knee' campaign. As a senior relationship manager for SSGA, he seeks to revolutinize the male office attire.",18808,https://www.ted.com/talks/chris_vogtherr_a_rallying_cry_for_office_shorts,A rallying cry for office shorts,"It's time for men to 'Free the Knee' at work. In the scorching days of summer women can wear professional skirts but men are impractically confined to long trousers all year round. By spreading a 'Free the Knee' campaign, Chris Vogtherr challenges the notion that shorts are unprofessional.",2015-11-03,358,0,,,English
activism,1641,TEDWomen 2015,United States,2528,Michael Kimmel,Sociologist,"The author of 'Angry White Men,' Michael Kimmel is a pre-eminent scholar of men and masculinity.",2329,https://www.ted.com/talks/michael_kimmel_why_gender_equality_is_good_for_everyone_men_included,Why gender equality is good for everyone — men included,"Yes, we all know it's the right thing to do. But Michael Kimmel makes the surprising, funny, practical case for treating men and women equally in the workplace and at home. It's not a zero-sum game, but a win-win that will result in more opportunity and more happiness for everybody.",2015-05-29,958,2521323,20,7,English
activism,1685,TEDGlobal 2014,Brazil,2031,Bruno Torturra,Livestreaming activist,"Journalist and photographer Bruno Torturra is the face of Media Ninja, a Brazilian digital collective making headlines for its ability to cover big news as it happens.",2154,https://www.ted.com/talks/bruno_torturra_got_a_smartphone_start_broadcasting,Got a smartphone? Start broadcasting,"In 2011, journalist Bruno Torturra covered a protest in São Paulo which turned ugly. His experience of being teargassed had a profound effect on the way he thought about his work, and he quit his job to focus on broadcasting raw, unedited experiences online. In this fascinating talk, he shares some of the ways in which he's experimented with livestreaming on the web, and how in the process he has helped to create a very modern media network.",2014-10-06,815,1345179,0,1,English
activism,1685,TEDGlobal 2014,Brazil,2043,Khalida Brohi,Women’s rights activist and entrepreneur,"In the tribal region where she was born, Khalida Brohi founded an organization to end honor killings and empower Pakistani women.",2152,https://www.ted.com/talks/khalida_brohi_how_i_work_to_protect_women_from_honor_killings,How I work to protect women from honor killings,"Nearly 1000 'honor' killings are reported in Pakistan each year, murders by a family member for behavior deemed 'shameful,' such as a relationship outside of marriage. When Khalida Brohi lost a close friend to the practice, she resolved to campaign against it. Yet she met resistance from an unlikely source: the very community she hoped to protect. In this powerful, honest talk, Brohi shares how she took a hard look at her own process, and offers sharp insights for other passionate activists.",2014-10-15,1093,1237029,1,6,English
activism,1755,TED2014,Canada,1765,Yoruba Richen,Documentary filmmaker,"In her documentary films, Yoruba Richen unites African-American, feminist and LGBTQ voices in a renewed cry for civil rights for all.",2016,https://www.ted.com/talks/yoruba_richen_what_the_gay_rights_movement_learned_from_the_civil_rights_movement,What the gay rights movement learned from the civil rights movement,"As a member of both the African American and LGBT communities, filmmaker Yoruba Richen is fascinated with the overlaps and tensions between the gay rights and the civil rights movements. She explores how the two struggles intertwine and propel each other forward — and, in an unmissable argument, she dispels a myth about their points of conflict. A powerful reminder that we all have a stake in equality.",2014-03-13,1062,822425,2,2,English
activism,1755,TED2014,Canada,1783,Geena Rocero,Model and activist,Geena Rocero is a professional model for fashion and beauty companies around the world. And she uses her platform to share a powerful story.,1961,https://www.ted.com/talks/geena_rocero_why_i_must_come_out,Why I must come out,"When fashion model Geena Rocero first saw a photo of herself in a bikini, 'I thought ... you have arrived!' As she reveals, that's because she was born with the gender assignment 'boy.' In this moving talk, Rocero tells the story of becoming who she always knew she was.",2014-03-19,599,3604443,0,3,English
activism,1755,TED2014,Canada,1789,Keren Elazari,Cybersecurity expert,"Keren Elazari charts the transformation of hackers from cyberpunk protagonists to powerful hacktivists, lone rangers and digital robin hoods who are the unsung heroes of the digital frontier.",2019,https://www.ted.com/talks/keren_elazari_hackers_the_internet_s_immune_system,Hackers: the Internet's immune system,"The beauty of hackers, says cybersecurity expert Keren Elazari, is that they force us to evolve and improve. Yes, some hackers are bad guys, but many are working to fight government corruption and advocate for our rights. By exposing vulnerabilities, they push the Internet to become stronger and healthier, wielding their power to create a better world.",2014-03-18,999,2739994,0,2,English
activism,1755,TED2014,Canada,1821,Aziza Chaouni,Architect + ecotourism specialist,"Aziza Chaouni focuses on projects that integrate architecture and landscape, and that ultimately give back to their communities. For years, she has worked to revive the Fez River, which runs through her hometown of Fez, Morocco.",2064,https://www.ted.com/talks/aziza_chaouni_how_i_brought_a_river_and_my_city_back_to_life,"How I brought a river, and my city, back to life","The Fez River winds through the medina of Fez, Morocco—a mazelike medieval city that's a World Heritage site. Once considered the 'soul' of this celebrated city, the river succumbed to sewage and pollution, and in the 1950s was covered over bit by bit until nothing remained. TED Fellow Aziza Chaouni recounts her 20 year effort to restore this river to its former glory, and to transform her city in the process.",2014-03-17,339,765516,0,1,English
activism,1755,TED2014,Canada,1840,Will Potter,Investigative journalist,"Award-winning journalist and author, Will Potter focuses on the animal rights and environmental movements, and civil liberties in the post-9/11 era.",2018,https://www.ted.com/talks/will_potter_the_shocking_move_to_criminalize_nonviolent_protest,The shocking move to criminalize nonviolent protest,"In 2002, investigative journalist and TED Fellow Will Potter took a break from his regular beat, writing about shootings and murders for the Chicago Tribune. He went to help a local group campaigning against animal testing: 'I thought it would be a safe way to do something positive,' he says. Instead, he was arrested, and so began his ongoing journey into a world in which peaceful protest is branded as terrorism.",2014-03-17,273,1147687,0,2,English
activism,1871,TEDMED 2014,United States,2144,Rosie King,Storytelling activist,"Rosie King challenges stereotypes of people with autism and contextualizes the issue by asking us, “Why be normal?”",2136,https://www.ted.com/talks/rosie_king_how_autism_freed_me_to_be_myself,How autism freed me to be myself,"“People are so afraid of variety that they try to fit everything into a tiny little box with a specific label,” says 16-year-old Rosie King, who is bold, brash and autistic. She wants to know: Why is everyone so worried about being normal? She sounds a clarion call for every kid, parent, teacher and person to celebrate uniqueness. It’s a soaring testament to the potential of human diversity.",2014-09-09,368,2929866,3,1,English
activism,2034,TEDxHousesOfParliament,UK,2071,Meera Vijayann,Citizen journalist,"By using citizen journalism platforms, Meera Vijayann explores creative ways that young women can participate in politics and community matters.",2068,https://www.ted.com/talks/meera_vijayann_find_your_voice_against_gender_violence,Find your voice against gender violence,"This talk begins with a personal story of sexual violence that may be difficult to listen to. But that's the point, says citizen journalist Meera Vijayann: Speaking out on tough, taboo topics is the spark for change. Vijayann uses digital media to speak honestly about her experience of gender violence in her home country of India -- and calls on others to speak out too.",2014-06-27,838,1087154,0,1,English
activism,2196,TEDYouth 2013,United States,1792,McKenna Pope,Teen activist,"When McKenna Pope was 13 she petitioned Hasbro to market its Easy-Bake Oven to boys as well as girls, and to make it available in gender-neutral colors. It worked.",1915,https://www.ted.com/talks/mckenna_pope_want_to_be_an_activist_start_with_your_toys,Want to be an activist? Start with your toys,"McKenna Pope's younger brother loved to cook, but he worried about using an Easy-Bake Oven -- because it was a toy for girls. So at age 13, Pope started an online petition for the American toy company Hasbro to change the pink-and-purple color scheme on the classic toy and incorporate boys into its TV marketing. In a heartening talk, Pope makes the case for gender-neutral toys and gives a rousing call to action to all kids who feel powerless.",2013-11-23,322,1088116,0,2,English
activism,2541,TEDxWomen 2011,United States,827,Morley,Singer-songwriter,"Recording artist, singer, and composer Morley weaves jazz, soul and folk traditions into a vocal and acoustic splendor and has graced stages from Nomad Women’s Festival to Carnegie Hall.",1323,https://www.ted.com/talks/morley_women_of_hope","""Women of Hope""","Inspired by Aung San Suu Kyi's call to action, 'If you're feeling helpless, help someone,' Morley composed this song. She sings it at TEDxWomen in her gorgeous, warm voice.",2011-12-01,330,373661,0,1,English
activism,3405,TEDGlobal 2007,Tanzania,254,Corneille Ewango,Botanist and activist,"As a botanist at the Okapi Wildlife Reserve in the Congo basin, Corneille Ewango has faced down poachers and soldiers who threaten this delicate and vital ecosystem.",299,https://www.ted.com/talks/corneille_ewango_a_hero_of_the_congo_forest,A hero of the Congo forest,"Botanist Corneille Ewango talks about his work at the Okapi Faunal Reserve in the Congo Basin -- and his heroic work protecting it from poachers, miners and raging civil wars.",2007-06-06,1098,520774,2,3,English
africa,1195,TED@IBM,United States,2705,Kala Fleming,Water mapper,"Dr. Kala Fleming, scientist and thought leader on water management, is an advisor for the government and private sector in Africa and SE Asia. Over the last 10 years, she worked with underserved communities in the U.S., Caribbean and West Africa as a consultant providing solutions focused on evolving communities. She leads a team of scientists at IBM Research – Africa on smarter planet solutions for water, agriculture and healthcare.",9508,https://www.ted.com/talks/kala_fleming_easing_water_scarcity_by_understanding_when_and_where_it_flows,Easing water scarcity by understanding when and where it flows,"The African continent holds more water than much of the world -- yet most people can't access the rich reserves just below their feet. Kala Fleming and her team in Kenya are creating a system-level solution: 'digital aquifers.' By putting sensors in wells, monitoring the data from the cloud and opening up business opportunity around it, they're helping the continent and the world reach its liquid gold.",2015-10-15,551,11798,,,English
africa,1570,TED@State Street Boston,United States,4102,Alison Quirk,Citizenship officer,"Alison Quirk is State Street’s chief human resources and citizenship officer. She is the driving force in the development of State Street’s culture -- ensuring that employees globally feel engaged, valued and committed to its markets and clients. Quirk presents on topics related to career management, inclusion and diversity, and talent management, and she is a frequent contributor to The Huffington Post.",19138,https://www.ted.com/talks/alison_quirk_making_a_difference_in_the_world,Making a difference in the world,"Alison Quirk tells the personal story of taking in a teenager from Nigeria who was recruited to play basketball at her daughter's high school. Through midnight phone calls, hospital visits, and important milestones, Alison explores the wonderful messiness of families – and how to leave a mark on the world.",2013-11-06,935,0,,,English
africa,2737,TEDxBoulder 2011,United States,1114,Leslie Dodson,Reporter,"Leslie Dodson’s work has taken her from Latin America to Indonesia covering international finance, economics, and politics.",1292,https://www.ted.com/talks/leslie_dodson_don_t_misrepresent_africa,Don't misrepresent Africa,"Real narratives are complicated: Africa isn't a country, and it's not a disaster zone, says reporter and researcher Leslie Dodson. She calls for journalists, researchers and NGOs to stop representing entire continents as one big tragedy.",2011-09-24,686,194087,0,1,English
africa,2947,TEDGlobal 2010,UK,755,Stefan Wolff,Ethnic conflicts scholar,"Stefan Wolff studies contemporary conflicts, focusing on the prevention and settlement of ethnic conflicts and in postconflict reconstruction in deeply divided and war-torn societies.",1003,https://www.ted.com/talks/stefan_wolff_the_path_to_ending_ethnic_conflicts,The path to ending ethnic conflicts,"Civil wars and ethnic conflicts have brought the world incredible suffering, but Stefan Wolff's figures show that, in the last 20 years, their number has steadily decreased. He extracts critical lessons from Northern Ireland, Liberia, Timor and more to show that leadership, diplomacy and institutional design are our three most effective weapons in waging peace.",2010-07-15,1055,366136,0,1,English
ai,772,TED2018,Canada,4053,Mother London,,"Mother is an independent creative company. For the past 21 years, Mother have created ideas that are embraced by popular culture via advertising, design, entertainment and product development. Mother have offices in London, New York, Los Angeles, Singapore and Shanghai and work with iconic brands including KFC, Stella Artois, Greenpeace, IKEA and Target. Ultimately, Mother exist to attract and provoke the most creative minds in the world -- staff, clients and friends alike.",14612,https://www.ted.com/talks/mother_london_ai_therapy,"""AI therapy""","After 100 years of progress, AI bots have finally become too human for their own good. (Credits: Directors: Emerald Fennell &amp, Chris Vernon, Director of Photography: Ben Kracun, Production Design: Jessica Sutton, VFX: Coffee &amp, TV, Executive Producer, TED2018 Film Program: Sinéad McDevitt, Director of Production and Video Operations, TED: Mina Sabet)",2018-04-11,144,13821,,,English
animals,1988,TEDxBoston,United States,1677,Steve Ramirez and Xu Liu,Neuroscientist,"When Steve Ramirez published his latest study in Science, it caused a media frenzy. Why? Because the paper was on implanting false memories in the brains of mice.",1813,https://www.ted.com/talks/steve_ramirez_and_xu_liu_a_mouse_a_laser_beam_a_manipulated_memory,A mouse. A laser beam. A manipulated memory.,"Can we edit the content of our memories? It's a sci-fi-tinged question that Steve Ramirez and Xu Liu are asking in their lab at MIT. Essentially, the pair shoot a laser beam into the brain of a living mouse to activate and manipulate its memory. In this unexpectedly amusing talk they share not only how, but -- more important -- why they do this.",2013-06-25,925,1178163,7,1,English
animals,2294,TEDxZurich 2013,Switzerland,1794,Nicolas Perony,Animal scientist,Nicolas Perony models the movement of animal groups to understand: what is the individual behavior that guides the behavior of the larger society?,1916,https://www.ted.com/talks/nicolas_perony_puppies_now_that_i_ve_got_your_attention_complexity_theory,"Puppies! Now that I’ve got your attention, complexity theory","Animal behavior isn't complicated, but it is complex. Nicolas Perony studies how individual animals -- be they Scottish Terriers, bats or meerkats -- follow simple rules that, collectively, create larger patterns of behavior. And how this complexity born of simplicity can help them adapt to new circumstances, as they arise.",2013-10-03,825,1047357,0,1,English
animals,2396,TEDxDeExtinction,United States,1654,Hendrik Poinar,Evolutionary geneticist,Hendrik Poinar is a geneticist and biological anthropologist who focuses on extracting ancient DNA. He currently has his sights set on sequencing the genome of the woolly mammoth -- and cloning it.,1751,https://www.ted.com/talks/hendrik_poinar_bring_back_the_woolly_mammoth,Bring back the woolly mammoth!,"It’s the dream of kids all around the world to see giant beasts walk the Earth again. Could -- and should -- that dream be realized? Hendrik Poinar talks about the next big thing: the quest to engineer a creature that looks very much like our furry friend, the woolly mammoth. The first step, to sequence the woolly genome, is nearly complete. And it’s huge.",2013-03-15,622,1135691,1,2,English
animation,203,TEDxExeter,UK,3235,Alan Smith,Data visualisation editor,Alan Smith uses interactive graphics and statistics to breathe new life into how data is presented.,2674,https://www.ted.com/talks/alan_smith_why_you_should_love_statistics,Why you should love statistics,"Think you're good at guessing stats? Guess again. Whether we consider ourselves math people or not, our ability to understand and work with numbers is terribly limited, says data visualization expert Alan Smith. In this delightful talk, Smith explores the mismatch between what we know and what we think we know.",2016-04-15,769,2016976,10,1,English
animation,621,TED2009,United States,343,Natasha Tsakos,Artist,"The president and founder of NTiD inc., Natasha Tsakos brings a creative, innovative vision, and the art of orchestrating and synchronizing various disciplines, to the execution of high-leveled productions.",621,https://www.ted.com/talks/natasha_tsakos_a_multimedia_theatrical_adventure,A multimedia theatrical adventure,"Natasha Tsakos presents part of her one-woman, multimedia show, 'Upwake.' As the character Zero, she blends dream and reality with an inventive virtual world projected around her in 3D animation and electric sound.",2009-02-06,879,459764,2,3,English
animation,1292,TED2016,Canada,2943,Safwat Saleem,"Artist, graphic designer, filmmaker",Safwat Saleem uses satire and art to bring to light stories of adversity.,2539,https://www.ted.com/talks/safwat_saleem_why_i_keep_speaking_up_even_when_people_mock_my_accent,"Why I keep speaking up, even when people mock my accent","Artist Safwat Saleem grew up with a stutter -- but as an independent animator, he decided to do his own voiceovers to give life to his characters. When YouTube commenters started mocking his Pakistani accent, it crushed him, and his voice began to leave his work. Hear how this TED Fellow reclaimed his voice and confidence in this charming, thoughtful talk.",2016-02-15,648,1709901,12,2,English
animation,2131,TED2012,United States,1134,Andrew Stanton,Filmmaker,"Andrew Stanton has made you laugh and cry. The writer behind the three 'Toy Story' movies and the writer/director of 'WALL-E,' he releases his new film, 'John Carter,' in March.",1379,https://www.ted.com/talks/andrew_stanton_the_clues_to_a_great_story,The clues to a great story,"Filmmaker Andrew Stanton ('Toy Story,' 'WALL-E') shares what he knows about storytelling -- starting at the end and working back to the beginning. Contains graphic language ... (Note: this talk is not available for download.)",2012-02-28,1156,4965797,3,1,English
animation,2131,TED2012,United States,1455,Don Levy,Film executive,"Don Levy has served on the frontlines of the digital transformation of entertainment. For 17 years, he led the communications efforts for top visual effects and digital animation studio, Sony Pictures Imageworks. He is fascinated by the magic of movies.",1639,https://www.ted.com/talks/don_levy_a_cinematic_journey_through_visual_effects,A cinematic journey through visual effects,"It's been 110 years since Georges Méliès sent a spaceship slamming into the eye of the man on the moon. So how far have visual effects come since then? Working closely with the Academy of Motion Picture Arts and Sciences, Don Levy takes us on a visual journey through special effects, from the fakery of early technology to the seamless marvels of modern filmmaking.",2012-02-28,414,797500,0,1,English
animation,2284,TEDWomen 2013,United States,1717,Maya Penn,"Entrepreneur, animator, philanthropist ...","Maya Penn makes eco-friendly clothes and accessories, which she sells on a site she built -- and gives away a percent of the profits.",1917,https://www.ted.com/talks/maya_penn_meet_a_young_entrepreneur_cartoonist_designer_activist,"Meet a young entrepreneur, cartoonist, designer, activist ...","Maya Penn started her first company when she was 8 years old, and thinks deeply about how to be responsible both to her customers and to the planet. She shares her story -- and some animations, and some designs, and some infectious energy -- in this charming talk.",2013-12-05,436,1750232,2,7,English
